tile,is_tumor,wagner_attn,vl_msi_minus_mss,vl_quality
225,False,6.741447e-05,-0.0014918465,0.005094555
226,True,6.4929074e-05,-0.0042582788,0.019242246
227,True,6.2281695e-05,0.003609554,0.00019288808
228,True,6.4764914e-05,0.0066003967,-0.009695257
229,True,6.213067e-05,0.016936671,-0.003793139
230,False,6.30561e-05,0.0004273313,-0.005252449
231,True,6.614496e-05,-0.0028298958,0.0052111307
232,False,6.273968e-05,0.005113654,-0.00095322356
233,False,6.436461e-05,-0.01456794,-0.016319957
234,False,6.3396765e-05,-0.010626292,-0.011925133
235,False,6.294485e-05,0.0112106325,-0.015114543
236,False,5.9353875e-05,-0.025423035,-0.0041405894
237,False,6.2160136e-05,-0.006805273,0.017043192
238,True,6.2419174e-05,-0.010419337,0.0044699144
239,False,5.796266e-05,-0.022355875,0.0037730932
240,False,6.111465e-05,-0.020567235,-0.0067915376
241,True,6.695074e-05,0.005861154,0.015058946
242,False,6.415543e-05,0.015926529,0.00051791593
243,True,6.282418e-05,0.01053915,0.015073001
244,False,6.9653826e-05,-0.021789432,0.003024745
245,False,7.430394e-05,-0.000947373,-0.006120993
246,False,7.1933304e-05,0.0025702417,0.010695223
247,False,7.26469e-05,-0.007594509,0.012156529
248,False,6.913865e-05,0.003340736,0.0032999534
249,False,6.9075635e-05,0.004650226,0.012182517
250,False,7.0434406e-05,0.005796306,0.003861297
251,False,6.535689e-05,0.0012884154,0.0050017545
252,False,6.0750834e-05,0.021206032,0.01136619
253,True,6.6240944e-05,0.0057535656,0.014600747
254,False,6.461514e-05,-7.9765916e-05,0.005527977
255,False,6.0673105e-05,0.00031845458,-0.009272007
256,False,6.585975e-05,0.0138116265,-0.011170849
257,False,6.560132e-05,0.00010953937,-0.005672235
258,True,6.0099475e-05,0.00917378,0.019068014
259,True,6.4048596e-05,0.022747759,0.025083942
260,True,6.3519015e-05,0.019510254,0.0130996
261,False,6.374636e-05,-0.0026761275,-0.0003475221
262,True,6.697926e-05,-0.005015176,-0.015206225
263,False,6.0906877e-05,-0.0033667088,0.020961823
264,True,6.202999e-05,0.00931434,0.025317423
265,True,6.148976e-05,-0.0037068012,0.026423318
266,False,5.9533762e-05,0.004083244,0.00062546134
267,True,5.8855163e-05,0.03215345,-0.0029764883
268,True,6.2688356e-05,-0.023573868,-0.0055503836
269,False,6.0027876e-05,-0.021997165,-0.005406942
270,True,5.917158e-05,0.0017221272,0.015537651
271,False,6.320197e-05,-0.0052098613,-0.0028375098
272,False,6.137452e-05,-0.014175855,-0.0034231897
273,False,6.239969e-05,-0.026356269,0.0061664684
274,False,6.134131e-05,-0.0024875458,0.009681576
275,False,6.5961736e-05,-0.0047746403,-0.0036119148
276,False,7.097195e-05,-0.004214179,-0.003190985
277,False,7.19154e-05,-0.010708509,0.005493358
278,False,7.2671945e-05,-0.0069101974,0.03100051
279,False,7.180919e-05,-0.0017001424,0.028689202
280,False,7.0993075e-05,-0.00507777,0.011697177
281,False,7.153507e-05,-0.001851466,0.0013469625
282,False,7.072517e-05,0.0099324025,0.01221444
283,False,6.974938e-05,0.011110678,-0.008480616
284,False,7.2878174e-05,0.004642725,0.003905138
285,True,6.762862e-05,0.018448962,-0.005042121
286,True,6.072494e-05,0.012352707,0.0028477348
287,True,6.516231e-05,0.018882468,0.005910486
288,False,6.5703134e-05,0.0001475364,-0.0032131146
289,True,6.5544395e-05,-0.004810031,-0.004786956
290,True,6.033765e-05,0.015473032,0.0011078957
291,False,6.421484e-05,0.0070829745,-0.006580351
292,True,6.466889e-05,0.0171445,0.010232048
293,True,6.0054852e-05,0.013424749,0.0015367642
294,True,6.375712e-05,0.016123736,0.028274974
295,False,6.194778e-05,0.0027944483,0.013332502
296,False,6.106894e-05,0.024828292,-0.0013750512
297,True,6.33687e-05,-0.0038881488,-0.01408603
298,True,6.555491e-05,0.009078582,0.023850301
299,False,6.453258e-05,-0.0032579321,0.010991607
300,True,5.7755406e-05,0.009445653,0.013474095
301,False,5.9796126e-05,-0.023839317,-0.004268203
302,True,6.071919e-05,0.0056095496,0.0079849865
303,True,6.349341e-05,0.005250694,0.007984398
304,False,6.1088176e-05,-0.0015265476,0.0011979807
305,False,6.147558e-05,0.0037025977,0.00013284665
306,True,6.356495e-05,-0.0026986226,-0.0032606497
307,False,6.297833e-05,-0.0026711114,-0.006456649
308,False,6.755984e-05,-0.0045835227,0.0061536543
309,True,6.238037e-05,0.00917124,-0.0053955987
310,False,6.298773e-05,0.001569197,-0.0016363822
311,False,6.462385e-05,-0.0034250803,-0.00973738
312,False,6.3691914e-05,0.011810709,0.030425321
313,True,6.038549e-05,0.015177753,0.015792854
314,False,6.699968e-05,-0.035791513,-0.011337858
315,False,6.9528614e-05,-0.0018307269,-0.00048472174
316,False,6.8805275e-05,-0.0009793071,-0.0023621824
317,False,6.999659e-05,-0.012595179,0.003102065
318,False,7.035519e-05,-0.001921881,-3.839284e-05
319,False,7.0669616e-05,0.0022577532,-0.0065169632
320,False,7.083571e-05,-0.005610522,0.00016359799
321,False,6.6769986e-05,0.019434247,0.009372926
322,True,6.398574e-05,0.027096037,-0.0012757676
323,True,6.095995e-05,0.018958919,0.021393407
324,True,6.249559e-05,0.010103402,0.012518758
325,True,6.40026e-05,-0.0069264947,-0.00085451826
326,True,6.236484e-05,0.012504106,0.008325867
327,True,6.02616e-05,0.01656571,-0.002183335
328,False,6.645132e-05,0.0036699353,-0.003043715
329,False,6.387773e-05,0.009010477,-0.0209172
330,True,6.192728e-05,0.011164072,0.010764066
331,True,6.736576e-05,-0.006109317,-0.0006760508
332,True,6.295783e-05,0.024530556,0.012702841
333,True,5.9578324e-05,0.0061320215,0.014834682
334,False,6.277917e-05,0.001477404,0.012335388
335,False,6.428095e-05,0.006468501,0.012515083
336,True,6.337925e-05,0.0058451653,-0.0073592328
337,True,6.131843e-05,0.014845561,0.0023808386
338,True,6.234999e-05,0.021736998,0.014295983
339,True,6.367191e-05,0.005450591,-0.013474295
340,True,6.1799554e-05,0.016762972,0.014150472
341,False,5.821708e-05,-0.006576091,0.019074567
342,True,6.246748e-05,0.012501895,0.01543981
343,False,6.118556e-05,0.0006388379,0.013546899
344,True,6.1095416e-05,-0.004221501,0.009812642
345,False,6.747599e-05,0.0025551794,0.00096643716
346,False,6.272505e-05,-0.002994082,-0.006287697
347,False,6.609326e-05,0.008577477,0.015110524
348,False,6.6881956e-05,-0.01197836,0.007365875
349,True,6.195714e-05,0.0072073266,0.010366052
350,False,6.5967724e-05,0.011771519,0.0057084057
351,False,6.416819e-05,0.0061843065,0.0019509345
352,False,6.472741e-05,0.0070811436,-0.00029449165
353,True,6.074827e-05,-0.008780766,0.0026736483
354,False,6.499159e-05,0.0073118946,-0.00097233243
355,False,6.437832e-05,-0.0073769307,0.01175273
356,False,6.1520164e-05,-0.009976089,-0.025435362
357,False,6.254882e-05,-0.025018008,0.002776362
358,False,6.927862e-05,-0.018077293,-0.010951511
